,Country,Code,Year,Population (historical estimates),"Indicator:Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%) - Sex:Both sexes",Schizophrenia disorders (share of population) - Sex: Both - Age: Age-standardized,Depressive disorders (share of population) - Sex: Both - Age: Age-standardized,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,Bipolar disorders (share of population) - Sex: Both - Age: Age-standardized,Eating disorders (share of population) - Sex: Both - Age: Age-standardized,headcount_ratio_upper_mid_income_povline,headcount_ratio_1000
188,Argentina,ARG,1996,35389360.0,18.9,0.3104554,2.6141539,5.0627203,0.9780294,0.29576775,22.40096094248587,35.8401606132186
189,Argentina,ARG,1997,35815968.0,19.3,0.3106239,2.615236,5.069406,0.97811425,0.299734,25.13460163292033,48.29465459396622
190,Argentina,ARG,1997,35815968.0,19.3,0.3106239,2.615236,5.069406,0.97811425,0.299734,21.34551679914167,33.62325307007375
191,Argentina,ARG,1998,36233196.0,19.7,0.31082502,2.6173654,5.0771475,0.9781832,0.30309895,27.850191142829427,51.46563253739858
192,Argentina,ARG,1998,36233196.0,19.7,0.31082502,2.6173654,5.0771475,0.9781832,0.30309895,23.29601164620497,36.4399778487676
193,Argentina,ARG,1999,36653032.0,20.1,0.31099257,2.6191437,5.0836987,0.97823006,0.30575922,28.483677075311643,52.31900862863876
194,Argentina,ARG,1999,36653032.0,20.1,0.31099257,2.6191437,5.0836987,0.97823006,0.30575922,24.2249596672385,38.26053378188451
195,Argentina,ARG,2000,37070772.0,20.5,0.31105858,2.6201203,5.086851,0.9782552,0.3072642,31.48535527397788,54.1514931478068
196,Argentina,ARG,2000,37070772.0,20.5,0.31105858,2.6201203,5.086851,0.9782552,0.3072642,26.296561036813333,40.0429537725314
197,Argentina,ARG,2001,37480492.0,20.9,0.31093073,2.6220922,5.088034,0.98460674,0.30651042,36.91332249631622,59.24978875185886
198,Argentina,ARG,2001,37480492.0,20.9,0.31093073,2.6220922,5.088034,0.98460674,0.30651042,31.06722866340444,45.593396985981485
199,Argentina,ARG,2002,37885024.0,21.4,0.3106408,2.625571,5.089757,0.9997332,0.304961,49.85426902412545,73.16669287248556
200,Argentina,ARG,2002,37885024.0,21.4,0.3106408,2.625571,5.089757,0.9997332,0.304961,44.37977562558613,59.51028733958719
201,Argentina,ARG,2003,38278164.0,21.8,0.31030717,2.6273024,5.0913215,1.0177805,0.30294254,33.694648274094305,58.01442169001968
202,Argentina,ARG,2003,38278164.0,21.8,0.31030717,2.6273024,5.0913215,1.0177805,0.30294254,29.556793195319592,44.04026627155219
203,Argentina,ARG,2004,38668796.0,22.3,0.3100471,2.6299448,5.0919785,1.0328883,0.3019962,29.23691973869686,52.44940174900451
204,Argentina,ARG,2004,38668796.0,22.3,0.3100471,2.6299448,5.0919785,1.0328883,0.3019962,24.73025350089953,38.16964361392544
205,Argentina,ARG,2005,39070504.0,22.8,0.30997583,2.6289823,5.091139,1.0392022,0.30167902,25.007701435368467,47.69241061212162
206,Argentina,ARG,2005,39070504.0,22.8,0.30997583,2.6289823,5.091139,1.0392022,0.30167902,20.7807154680811,33.41841360246542
207,Argentina,ARG,2006,39476856.0,23.2,0.3102805,2.6047487,5.068065,1.0391719,0.30288535,20.31843100943488,41.68389089733857
208,Argentina,ARG,2006,39476856.0,23.2,0.3102805,2.6047487,5.068065,1.0391719,0.30288535,16.791788936835168,28.24666058470246
209,Argentina,ARG,2007,39876116.0,23.7,0.3109236,2.551156,5.0160227,1.0391463,0.30518323,19.24057019862884,40.36661400186452
210,Argentina,ARG,2007,39876116.0,23.7,0.3109236,2.551156,5.0160227,1.0391463,0.30518323,15.40162122024737,27.81406399326119
211,Argentina,ARG,2008,40273768.0,24.2,0.31168434,2.487661,4.95535,1.0391239,0.3085439,17.11024425168087,37.93586687984807
212,Argentina,ARG,2008,40273768.0,24.2,0.31168434,2.487661,4.95535,1.0391239,0.3085439,14.07133093524143,24.74996531597404
213,Argentina,ARG,2009,40684344.0,24.7,0.3123423,2.4350693,4.90632,1.0391033,0.3120873,15.61231504240746,35.358127309302674
214,Argentina,ARG,2009,40684344.0,24.7,0.3123423,2.4350693,4.90632,1.0391033,0.3120873,12.77034676619098,22.5595514039831
215,Argentina,ARG,2010,41100124.0,25.3,0.3126768,2.413849,4.889307,1.0390866,0.31553122,14.07072185034846,34.25303756471397
216,Argentina,ARG,2010,41100124.0,25.3,0.3126768,2.413849,4.889307,1.0390866,0.31553122,11.24584950820496,20.95088160038421
217,Argentina,ARG,2011,41520736.0,25.8,0.3126622,2.4141257,4.8977876,1.0390755,0.3182385,11.6215232395852,30.65767446129938
218,Argentina,ARG,2011,41520736.0,25.8,0.3126622,2.4141257,4.8977876,1.0390755,0.3182385,9.01318639729798,18.16953731306792
219,Argentina,ARG,2012,41952364.0,26.3,0.31248406,2.4159813,4.910255,1.039073,0.3215158,10.6643173538739,29.74384289022156
220,Argentina,ARG,2012,41952364.0,26.3,0.31248406,2.4159813,4.910255,1.039073,0.3215158,8.49776187502963,17.06680428782042
221,Argentina,ARG,2013,42388268.0,26.9,0.31224054,2.4191957,4.9245386,1.039076,0.3248527,10.79385653662287,29.400837070612862
222,Argentina,ARG,2013,42388268.0,26.9,0.31224054,2.4191957,4.9245386,1.039076,0.3248527,8.46008446759536,16.708547990051027
223,Argentina,ARG,2014,42824064.0,27.4,0.31203017,2.4207559,4.938433,1.0390805,0.3277988,11.79426317344665,33.46549680772491
224,Argentina,ARG,2014,42824064.0,27.4,0.31203017,2.4207559,4.938433,1.0390805,0.3277988,9.13934851234703,19.76704221313065
226,Argentina,ARG,2016,43668236.0,28.5,0.31233308,2.4216962,4.9635406,1.0390866,0.3320769,11.51077023286037,31.33052697407333
227,Argentina,ARG,2016,43668236.0,28.5,0.31233308,2.4216962,4.9635406,1.0390866,0.3320769,8.778286169792281,18.4658431945567
234,Armenia,ARM,1996,3298903.0,13.3,0.27534527,2.7881653,3.1285238,0.54182494,0.092257656,65.65373503594273,87.77918523184256
235,Armenia,ARM,1996,3298903.0,13.3,0.27534527,2.7881653,3.1285238,0.54182494,0.092257656,69.80950814482249,84.24612502703556
238,Armenia,ARM,1999,3206033.0,14.1,0.27417108,2.8251457,3.1428475,0.5419485,0.08917149,78.20632224839753,94.82276885991344
239,Armenia,ARM,1999,3206033.0,14.1,0.27417108,2.8251457,3.1428475,0.5419485,0.08917149,82.30975730016984,93.10250369802225
241,Armenia,ARM,2001,3133138.0,14.6,0.274356,2.8439515,3.148805,0.54200447,0.089766726,80.98281862504513,94.59328675222513
242,Armenia,ARM,2001,3133138.0,14.6,0.274356,2.8439515,3.148805,0.54200447,0.089766726,83.79923614099194,92.9308185606908
243,Armenia,ARM,2002,3105040.0,14.9,0.27507526,2.8545542,3.1527412,0.5420155,0.09152715,79.70152369025256,94.57315800459196
244,Armenia,ARM,2002,3105040.0,14.9,0.27507526,2.8545542,3.1527412,0.5420155,0.09152715,82.89501147985807,92.50678355249428
245,Armenia,ARM,2003,3084107.0,15.1,0.2759816,2.865396,3.1569946,0.5420277,0.094129905,78.89455074875208,95.43469217970048
246,Armenia,ARM,2003,3084107.0,15.1,0.2759816,2.865396,3.1569946,0.5420277,0.094129905,82.57591514143094,93.60440931780366
247,Armenia,ARM,2004,3065748.0,15.4,0.27684993,2.874829,3.1602669,0.5420317,0.09737334,68.12122912866563,91.00603339413496
248,Armenia,ARM,2004,3065748.0,15.4,0.27684993,2.874829,3.1602669,0.5420317,0.09737334,73.4881436789673,87.91216500631401
249,Armenia,ARM,2005,3047254.0,15.7,0.2774539,2.8829637,3.1614113,0.54202825,0.10007412,61.260361298797626,89.51670357154858
250,Armenia,ARM,2005,3047254.0,15.7,0.2774539,2.8829637,3.1614113,0.54202825,0.10007412,67.46391615382062,85.57444534830158
251,Armenia,ARM,2006,3026490.0,16.0,0.27789685,2.887293,3.1602807,0.54201835,0.10272496,55.8549429829041,90.29555873415686
252,Armenia,ARM,2006,3026490.0,16.0,0.27789685,2.887293,3.1602807,0.54201835,0.10272496,62.80610959985145,85.93912947838035
253,Armenia,ARM,2007,3004398.0,16.3,0.27839205,2.8886054,3.1577516,0.5420019,0.105622336,48.36598375635717,85.20439430663109
254,Armenia,ARM,2007,3004398.0,16.3,0.27839205,2.8886054,3.1577516,0.5420019,0.105622336,55.97315912335185,79.5791406721976
255,Armenia,ARM,2008,2983425.0,16.7,0.27887797,2.892236,3.1548352,0.54198825,0.108818464,45.48455905364245,85.07230734364532
256,Armenia,ARM,2008,2983425.0,16.7,0.27887797,2.892236,3.1548352,0.54198825,0.108818464,52.14971722529884,78.78333858084262
257,Armenia,ARM,2009,2964300.0,17.0,0.27929643,2.8927338,3.1520722,0.54196876,0.11161414,54.32953986644872,89.37475551242187
258,Armenia,ARM,2009,2964300.0,17.0,0.27929643,2.8927338,3.1520722,0.54196876,0.11161414,60.747544034409565,84.72782957615414
259,Armenia,ARM,2010,2946296.0,17.5,0.27958736,2.896215,3.150081,0.54194146,0.11388937,54.960626259626686,89.28008990896234
260,Armenia,ARM,2010,2946296.0,17.5,0.27958736,2.896215,3.150081,0.54194146,0.11388937,62.10716546110723,84.3748256450009
261,Armenia,ARM,2011,2928984.0,17.9,0.27981967,2.9046485,3.1495562,0.541904,0.11584397,51.25518503959999,87.99869689463974
262,Armenia,ARM,2011,2928984.0,17.9,0.27981967,2.9046485,3.1495562,0.541904,0.11584397,59.25432192497204,82.54927152517445
263,Armenia,ARM,2012,2914428.0,18.5,0.2800859,2.9182613,3.150064,0.5418589,0.11758394,48.28625610992934,87.84504972710134
264,Armenia,ARM,2012,2914428.0,18.5,0.2800859,2.9182613,3.150064,0.5418589,0.11758394,55.24800126303694,82.52732061440396
265,Armenia,ARM,2013,2901386.0,19.0,0.28036392,2.934571,3.1511166,0.54181325,0.119134255,46.07609860293579,84.71046633584771
266,Armenia,ARM,2013,2901386.0,19.0,0.28036392,2.934571,3.1511166,0.54181325,0.119134255,53.08642029531878,79.13368183033411
267,Armenia,ARM,2014,2889937.0,19.6,0.28063414,2.9476657,3.151906,0.54176444,0.120462425,44.89415254883669,85.14582729737013
268,Armenia,ARM,2014,2889937.0,19.6,0.28063414,2.9476657,3.151906,0.54176444,0.120462425,51.051276878901874,78.65014054052259
269,Armenia,ARM,2015,2878598.0,20.2,0.28087538,2.9542494,3.151636,0.5417096,0.1219621,39.79561532054603,83.03680120434181
270,Armenia,ARM,2015,2878598.0,20.2,0.28087538,2.9542494,3.151636,0.5417096,0.1219621,46.67745394549248,75.23447444986651
271,Armenia,ARM,2016,2865841.0,20.9,0.28138682,2.955971,3.1497703,0.541649,0.123195335,37.54998412424885,77.05049751936095
272,Armenia,ARM,2016,2865841.0,20.9,0.28138682,2.955971,3.1497703,0.541649,0.123195335,42.42207977139285,68.06765913184468
278,Australia,AUS,1995,18003002.0,18.0,0.38836062,4.515698,5.3766356,1.1164132,0.7358509,1.74976864803661,3.9394670213915
279,Australia,AUS,1995,18003002.0,18.0,0.38836062,4.515698,5.3766356,1.1164132,0.7358509,1.74976864803661,3.2382519826974097
285,Australia,AUS,2001,19248146.0,21.7,0.38848075,4.58546,5.215392,1.1176239,0.81825,1.4768275365518602,3.2447571997086104
286,Australia,AUS,2001,19248146.0,21.7,0.38848075,4.58546,5.215392,1.1176239,0.81825,1.4768275365518602,2.48526602738777
288,Australia,AUS,2003,19699004.0,22.9,0.3885987,4.7298746,5.4199343,1.1221255,0.89287037,1.4989561883131002,2.99947962984982
289,Australia,AUS,2003,19699004.0,22.9,0.3885987,4.7298746,5.4199343,1.1221255,0.89287037,1.7475826358079898,2.48185101582353
290,Australia,AUS,2004,19925060.0,23.5,0.3886471,4.790833,5.5135145,1.1241834,0.9279396,0.99589560199279,1.99135232744236
291,Australia,AUS,2004,19925060.0,23.5,0.3886471,4.790833,5.5135145,1.1241834,0.9279396,1.24786432640598,1.741687928224
295,Australia,AUS,2008,21247876.0,25.7,0.38855332,4.7543907,5.5950637,1.1250721,0.97864956,0.66945294632089,1.33510868297205
296,Australia,AUS,2008,21247876.0,25.7,0.38855332,4.7543907,5.5950637,1.1250721,0.97864956,0.66945294632089,1.00653804185483
298,Australia,AUS,2010,22019166.0,26.7,0.38849422,4.6904297,5.615126,1.1250472,0.9927631,0.67764916305148,1.67572071550058
299,Australia,AUS,2010,22019166.0,26.7,0.38849422,4.6904297,5.615126,1.1250472,0.9927631,1.00811482510049,1.34662831329249
303,Australia,AUS,2014,23469578.0,29.1,0.38856968,4.56489,5.544875,1.1250142,1.0123483,0.74441490995147,1.47818787094211
304,Australia,AUS,2014,23469578.0,29.1,0.38856968,4.56489,5.544875,1.1250142,1.0123483,0.99698534579914,1.24821818108319
306,Australia,AUS,2016,24195706.0,30.4,0.38852575,4.4401946,5.67749,1.12502,1.0205263,0.74748675146511,1.4906426651304598
307,Australia,AUS,2016,24195706.0,30.4,0.38852575,4.4401946,5.67749,1.12502,1.0205263,0.98910437170353,1.24942238645234
312,Austria,AUT,1994,7935366.0,12.5,0.27520266,3.5727391,5.80268,0.901654,0.44142702,0.7325867794675099,1.93683279583022
313,Austria,AUT,1994,7935366.0,12.5,0.27520266,3.5727391,5.80268,0.901654,0.44142702,0.97489177215614,1.73283258773357
314,Austria,AUT,1995,7947293.0,12.9,0.27512625,3.5538495,5.8068156,0.9016231,0.44745013,1.9950448377812304,5.2496706020633
315,Austria,AUT,1995,7947293.0,12.9,0.27512625,3.5538495,5.8068156,0.9016231,0.44745013,2.24850395652693,4.24793525274725
317,Austria,AUT,1997,7967086.0,13.7,0.2751634,3.4928606,5.790478,0.90166837,0.4600033,0.70926078853944,1.99740007538128
318,Austria,AUT,1997,7967086.0,13.7,0.2751634,3.4928606,5.790478,0.90166837,0.4600033,0.924943302447,1.61965994949897
321,Austria,AUT,2000,8010425.0,15.0,0.27531537,3.3730147,5.7588873,0.9017546,0.4785858,0.24160877106211,1.7205135903268505
322,Austria,AUT,2000,8010425.0,15.0,0.27531537,3.3730147,5.7588873,0.9017546,0.4785858,0.48008440682156,1.2452660430843598
325,Austria,AUT,2003,8120105.0,16.2,0.2754227,3.2760923,5.7907057,0.9018226,0.5005945,0.6182506065130701,1.21040575322749
326,Austria,AUT,2003,8120105.0,16.2,0.2754227,3.2760923,5.7907057,0.9018226,0.5005945,0.6519439974375,0.97510701603539
327,Austria,AUT,2004,8171215.0,16.6,0.2754722,3.2449446,5.8057036,0.9018207,0.5077192,0.28752918388767,0.9534519386217
328,Austria,AUT,2004,8171215.0,16.6,0.2754722,3.2449446,5.8057036,0.9018207,0.5077192,0.42373520343259,0.8027674390895001
329,Austria,AUT,2005,8227034.0,17.0,0.27549613,3.2177966,5.8164845,0.9018031,0.51429474,0.35345666028121,1.17297116046661
330,Austria,AUT,2005,8227034.0,17.0,0.27549613,3.2177966,5.8164845,0.9018031,0.51429474,0.45072752907263,0.92987227521806
331,Austria,AUT,2006,8267771.0,17.5,0.27552652,3.1890857,5.830372,0.90180916,0.5215775,0.35668362508586,1.10032923530149
332,Austria,AUT,2006,8267771.0,17.5,0.27552652,3.1890857,5.830372,0.90180916,0.5215775,0.47615458229802,0.74650791987847
333,Austria,AUT,2007,8294720.0,17.9,0.27558753,3.1565373,5.8527355,0.90183544,0.53044736,0.7430533814742399,1.32367731967998
334,Austria,AUT,2007,8294720.0,17.9,0.27558753,3.1565373,5.8527355,0.90183544,0.53044736,0.77529752996502,1.17575074207551
335,Austria,AUT,2008,8321134.0,18.3,0.27565533,3.1266346,5.8776236,0.90187377,0.53840405,0.90830472577533,1.51978875866371
336,Austria,AUT,2008,8321134.0,18.3,0.27565533,3.1266346,5.8776236,0.90187377,0.53840405,0.98540004814558,1.41509414346497
337,Austria,AUT,2009,8342939.0,18.7,0.275704,3.1034918,5.898953,0.90190077,0.5459628,0.98020771245772,1.8714696614825
338,Austria,AUT,2009,8342939.0,18.7,0.275704,3.1034918,5.898953,0.90190077,0.5459628,1.00748110997773,1.51574678494104
339,Austria,AUT,2010,8362829.0,19.2,0.275704,3.0920737,5.910921,0.9019149,0.5513747,0.80700995739208,1.33814461152693
340,Austria,AUT,2010,8362829.0,19.2,0.275704,3.0920737,5.910921,0.9019149,0.5513747,0.8140198995009401,1.14827143204715
341,Austria,AUT,2011,8391201.0,19.6,0.27560493,3.0925705,5.91934,0.90190107,0.55502725,1.03259006110947,1.76361006555291
342,Austria,AUT,2011,8391201.0,19.6,0.27560493,3.0925705,5.91934,0.90190107,0.55502725,1.03259006110947,1.58292075916816
343,Austria,AUT,2012,8429641.0,20.1,0.27541992,3.0992143,5.931905,0.9018285,0.5582181,1.00753995216346,1.9318241064287405
344,Austria,AUT,2012,8429641.0,20.1,0.27541992,3.0992143,5.931905,0.9018285,0.5582181,1.06965127800243,1.75404620557763
345,Austria,AUT,2013,8479542.0,20.5,0.2752243,3.1081657,5.9454136,0.90168726,0.56103206,0.59499488048401,1.1749053526173
346,Austria,AUT,2013,8479542.0,20.5,0.2752243,3.1081657,5.9454136,0.90168726,0.56103206,0.6671434529073,1.09198727525319
347,Austria,AUT,2014,8546066.0,21.0,0.27508944,3.1144185,5.9566393,0.901455,0.5628904,0.6665892804870001,1.29295927889054
348,Austria,AUT,2014,8546066.0,21.0,0.27508944,3.1144185,5.9566393,0.901455,0.5628904,0.73159856418285,1.10137374244527
349,Austria,AUT,2015,8642422.0,21.5,0.2750848,3.117166,5.963028,0.9011552,0.5627958,0.86877769576611,1.96758261600766
350,Austria,AUT,2015,8642422.0,21.5,0.2750848,3.117166,5.963028,0.9011552,0.5627958,1.01275184052913,1.81344617775245
351,Austria,AUT,2016,8736491.0,21.9,0.27593783,3.1172068,5.983274,0.90091336,0.5598134,1.24452787145482,1.99855672299605
352,Austria,AUT,2016,8736491.0,21.9,0.27593783,3.1172068,5.983274,0.90091336,0.5598134,1.32684041695271,1.76929553031837
358,Azerbaijan,AZE,1995,7889335.0,10.3,0.27407718,2.6854274,2.5374076,0.5229974,0.10844892,61.25691050520145,89.970269562354
359,Azerbaijan,AZE,1995,7889335.0,10.3,0.27407718,2.6854274,2.5374076,0.5229974,0.10844892,77.74078593464786,91.31683981219336
365,Azerbaijan,AZE,2001,8282030.0,12.2,0.27024662,2.684274,2.5466454,0.52280486,0.094266824,51.9548679848111,83.76389152049131
366,Azerbaijan,AZE,2001,8282030.0,12.2,0.27024662,2.684274,2.5466454,0.52280486,0.094266824,70.99665447138864,86.26611726122296
367,Azerbaijan,AZE,2002,8372128.0,12.5,0.2707266,2.6902637,2.5477786,0.52276087,0.09534902,16.164272384534538,75.9386147064801
368,Azerbaijan,AZE,2002,8372128.0,12.5,0.2707266,2.6902637,2.5477786,0.52276087,0.09534902,48.45349188691674,80.63455950004348
369,Azerbaijan,AZE,2003,8462335.0,12.8,0.27138633,2.698078,2.5490587,0.52271444,0.09680298,17.45616590896736,71.33058434926835
370,Azerbaijan,AZE,2003,8462335.0,12.8,0.27138633,2.698078,2.5490587,0.52271444,0.09680298,44.57881642196004,77.30470470876527
371,Azerbaijan,AZE,2004,8556168.0,13.2,0.27210444,2.7050302,2.5498493,0.5226743,0.09907625,13.92888803191154,71.76881799314212
372,Azerbaijan,AZE,2004,8556168.0,13.2,0.27210444,2.7050302,2.5498493,0.5226743,0.09907625,42.32237625001152,77.48181906940323
373,Azerbaijan,AZE,2005,8656243.0,13.6,0.27276427,2.707477,2.5493968,0.5226407,0.101383425,7.046067947266139,62.43506050921663
374,Azerbaijan,AZE,2005,8656243.0,13.6,0.27276427,2.707477,2.5493968,0.5226407,0.101383425,31.346400201133168,69.8163410486521
441,Bangladesh,BGD,1991,109242832.0,0.6,0.28073725,4.738316,3.0439758,0.39056677,0.08422861,96.88835649962004,99.63747588057235
442,Bangladesh,BGD,1991,109242832.0,0.6,0.28073725,4.738316,3.0439758,0.39056677,0.08422861,97.37942798694522,99.26544282315253
446,Bangladesh,BGD,1995,117793336.0,0.8,0.28087974,4.669866,2.9535468,0.39059758,0.08578044,92.58489108587148,98.07436382864482
447,Bangladesh,BGD,1995,117793336.0,0.8,0.28087974,4.669866,2.9535468,0.39059758,0.08578044,93.74933749385588,97.4427699337457
452,Bangladesh,BGD,2000,129193336.0,1.1,0.27966917,4.600333,2.9657207,0.39049977,0.08754281,91.4931892806774,98.10450877731564
453,Bangladesh,BGD,2000,129193336.0,1.1,0.27966917,4.600333,2.9657207,0.39049977,0.08754281,92.9598966821416,97.25578104308156
458,Bangladesh,BGD,2005,140912592.0,1.6,0.27835163,4.5788054,3.3111982,0.390192,0.09078565,89.15091623400423,97.4446123901094
459,Bangladesh,BGD,2005,140912592.0,1.6,0.27835163,4.5788054,3.3111982,0.390192,0.09078565,90.87790934520233,96.39126875219657
464,Bangladesh,BGD,2010,148391136.0,2.2,0.27757654,4.567146,3.1404343,0.3898037,0.09818385,87.55113615019437,97.36828450946606
465,Bangladesh,BGD,2010,148391136.0,2.2,0.27757654,4.567146,3.1404343,0.3898037,0.09818385,89.35675656704542,96.1866611415968
471,Bangladesh,BGD,2016,159784576.0,3.4,0.27625337,4.6036625,3.1587863,0.3894343,0.109776355,84.21573120373034,96.8370325919126
472,Bangladesh,BGD,2016,159784576.0,3.4,0.27625337,4.6036625,3.1587863,0.3894343,0.109776355,86.90296649040356,95.17786634368498
503,Belarus,BLR,1993,10480485.0,17.5,0.27064517,3.9631433,3.530581,0.52133095,0.106690764,34.5997023841993,89.14224719037043
504,Belarus,BLR,1993,10480485.0,17.5,0.27064517,3.9631433,3.530581,0.52133095,0.106690764,70.68378851447127,92.72629922723496
506,Belarus,BLR,1995,10461694.0,18.2,0.27033705,3.9915447,3.529267,0.52128,0.10373212,17.23067626953125,57.957392578125
